ERROR 2024-08-08 13:58:08,011 views 16344 6123188224 Error occurred: User() got unexpected keyword arguments: 'created_at', 'updated_at'
ERROR 2024-08-08 14:01:55,093 views 16726 6157709312 Error occurred: Python int too large to convert to SQLite INTEGER
ERROR 2024-08-08 14:02:18,405 views 16762 6205501440 Error occurred: User() got unexpected keyword arguments: 'created_at', 'updated_at'
ERROR 2024-08-08 14:05:43,379 views 16794 6164082688 Error occurred: Python int too large to convert to SQLite INTEGER
DEBUG 2024-08-08 14:06:32,633 views 16819 6130200576 New User saved
DEBUG 2024-08-08 14:07:15,701 views 16819 6130200576 users found
DEBUG 2024-08-08 14:19:19,701 views 17210 6122139648 User found
DEBUG 2024-08-08 14:19:36,414 views 17210 6122139648 User found
DEBUG 2024-08-08 14:25:02,997 views 17210 6122139648 Attempting login for username: inbar.shafir@gmail.com
DEBUG 2024-08-08 14:25:02,999 views 17210 6122139648 No user found
DEBUG 2024-08-08 14:25:51,766 views 17210 6122139648 Attempting login for username: inbarshafir
DEBUG 2024-08-08 14:25:51,981 views 17210 6122139648 inbarshafir logged in
DEBUG 2024-08-08 14:48:05,042 views 17936 8716307456 Attempting login for username: testuser
DEBUG 2024-08-08 14:48:05,202 views 17936 8716307456 testuser logged in
DEBUG 2024-08-08 14:48:05,507 views 17936 8716307456 User deleted
DEBUG 2024-08-08 14:48:05,649 views 17936 8716307456 User found
DEBUG 2024-08-08 14:48:05,790 views 17936 8716307456 User updated
DEBUG 2024-08-08 14:52:29,787 views 17984 8716307456 Attempting login for username: testuser
DEBUG 2024-08-08 14:52:29,939 views 17984 8716307456 testuser logged in
DEBUG 2024-08-08 14:52:30,233 views 17984 8716307456 User deleted
DEBUG 2024-08-08 14:52:30,377 views 17984 8716307456 User found
DEBUG 2024-08-08 14:52:30,519 views 17984 8716307456 User updated
DEBUG 2024-08-08 15:01:42,603 views 18241 8716307456 New User saved
DEBUG 2024-08-08 15:01:42,754 views 18241 8716307456 User deleted
DEBUG 2024-08-08 15:01:42,900 views 18241 8716307456 User found
DEBUG 2024-08-08 15:01:43,044 views 18241 8716307456 users found
DEBUG 2024-08-08 15:01:43,191 views 18241 8716307456 Attempting login for username: testuser
DEBUG 2024-08-08 15:01:43,348 views 18241 8716307456 testuser logged in
DEBUG 2024-08-08 15:01:43,647 views 18241 8716307456 User updated
DEBUG 2024-08-08 15:02:06,166 views 18266 8716307456 New User saved
DEBUG 2024-08-08 15:02:06,311 views 18266 8716307456 User deleted
DEBUG 2024-08-08 15:02:06,456 views 18266 8716307456 User found
DEBUG 2024-08-08 15:02:06,603 views 18266 8716307456 users found
DEBUG 2024-08-08 15:02:06,747 views 18266 8716307456 Attempting login for username: testuser
DEBUG 2024-08-08 15:02:06,901 views 18266 8716307456 testuser logged in
DEBUG 2024-08-08 15:02:07,197 views 18266 8716307456 User updated
DEBUG 2024-08-08 15:04:25,680 views 18328 8716307456 New User saved
DEBUG 2024-08-08 15:04:25,824 views 18328 8716307456 User deleted
DEBUG 2024-08-08 15:04:25,969 views 18328 8716307456 User found
DEBUG 2024-08-08 15:04:26,114 views 18328 8716307456 users found
DEBUG 2024-08-08 15:04:26,262 views 18328 8716307456 Attempting login for username: testuser
DEBUG 2024-08-08 15:04:26,418 views 18328 8716307456 testuser logged in
DEBUG 2024-08-08 15:04:26,716 views 18328 8716307456 User updated
DEBUG 2024-08-08 15:05:41,316 views 18373 8716307456 New User saved
DEBUG 2024-08-08 15:05:41,462 views 18373 8716307456 User deleted
DEBUG 2024-08-08 15:05:41,609 views 18373 8716307456 User found
DEBUG 2024-08-08 15:05:41,752 views 18373 8716307456 users found
DEBUG 2024-08-08 15:05:41,898 views 18373 8716307456 Attempting login for username: testuser
DEBUG 2024-08-08 15:05:42,053 views 18373 8716307456 testuser logged in
DEBUG 2024-08-08 15:05:42,348 views 18373 8716307456 user signupuser created
DEBUG 2024-08-08 15:05:42,349 views 18373 8716307456 signupuser logged in
DEBUG 2024-08-08 15:05:42,493 views 18373 8716307456 User updated
